ID,Text,Comment
Building.JamStove.DisplayName,Jam Stove,
Building.JamStove.Description,Boils berries into jam for further processing.,
Building.JamStove.FlavorDescription,"The pot had to be closed up after too many sweet-toothed beavers have been tempted by the delicious jam.",
Good.BerryBun.DisplayName,Berry buns,
Good.BerryBun.PluralDisplayName,Berry buns,
Good.BerryJam.DisplayName,Berry jam,
Good.BerryJam.PluralDisplayName,Berry jam,
Good.Apple.DisplayName,Apple,
Good.Apple.PluralDisplayName,Apples,
Good.Apple.Description,A fresh and nutritious apple from the orchard,
Building.AppleTree.DisplayName,Apple Tree,
Building.AppleTree.Description,Produces apples when grown,
Building.Distillery.DisplayName,Distillery,
Building.Distillery.Description,Produces alcoholic beverages from various ingredients.,
Building.Distillery.FlavorDescription,"A place where beavers transform simple crops into spirits, bringing both joy and caution to the settlement.",
Good.Rice.DisplayName,Rice,
Good.Rice.PluralDisplayName,Rice,
Good.Rice.Description,A versatile grain that grows in wet conditions,
Good.Alcohol.DisplayName,Alcohol,
Good.Alcohol.PluralDisplayName,Alcohol,
Good.Alcohol.Description,A spirit that brings joy in moderation,
Recipe.AlcoholFromApples.JobName,Distilling Apple Brandy,
Recipe.AlcoholFromPotatoes.JobName,Distilling Potato Vodka,
Recipe.AlcoholFromRice.JobName,Distilling Rice Wine,
Need.Fun.DisplayName,Fun,
Need.Fun.Description,The need for entertainment and enjoyment.,
